               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.011135,                   0,           0.0011696,            0.032975,          0.00057198,          0.00011811,             0.11518,            0.026546,            0.040764,             0.00058,             0.00058,             0.09478
                   1,                   0,           0.0035397,                   0,            0.001325,            0.088798,          0.00075279,          0.00016191,             0.11621,            0.025835,            0.040359,           0.0010806,           0.0010806,            0.089381
                   2,                   0,           0.0019653,                   0,           0.0018073,            0.032094,          0.00093948,          0.00020409,             0.11705,            0.026007,            0.040179,           0.0012735,           0.0012735,            0.083674
                   3,                   0,           0.0013447,                   0,           0.0019254,            0.012942,          0.00098125,          0.00026304,             0.11724,            0.026502,            0.040206,           0.0011195,           0.0011195,             0.07762
                   4,                   0,           0.0010447,                   0,           0.0016076,            0.005065,          0.00081684,          0.00019892,             0.11722,            0.026975,            0.040217,           0.0008126,           0.0008126,            0.071413
