               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056679,          0.00048825,            0.002437,          0.00036433,            0.013514,          8.0974e-05,          3.2389e-05,            0.072928,          0.00059106,           0.0027125,               3e-05,               3e-05,             0.09973
                   1,            0.075057,            0.001149,           0.0031879,          0.00055483,            0.013514,          0.00018759,          1.8759e-05,            0.072502,          0.00060202,           0.0027207,          6.9998e-05,          6.9998e-05,             0.09937
                   2,            0.074153,           0.0013995,            0.003179,           0.0005503,            0.038655,          0.00025872,          5.9839e-05,             0.07191,          0.00061613,           0.0027251,          0.00010999,          0.00010999,             0.09901
                   3,            0.073139,           0.0016341,           0.0031247,           0.0033923,            0.013514,          0.00044134,          0.00010823,            0.071104,          0.00064784,           0.0027313,          0.00014997,          0.00014997,             0.09865
                   4,            0.071911,           0.0018733,           0.0030985,           0.0029319,            0.013514,          0.00034648,          8.7628e-05,            0.070147,           0.0006864,           0.0027261,          0.00018993,          0.00018993,             0.09829
                   5,            0.070556,           0.0021507,           0.0030644,           0.0023858,            0.013514,           0.0004993,          0.00012547,            0.069062,          0.00072988,           0.0027155,          0.00022987,          0.00022987,             0.09793
                   6,            0.069285,           0.0024351,           0.0030257,           0.0019139,            0.013514,          0.00047765,          0.00013945,            0.067791,          0.00078042,           0.0026947,          0.00026979,          0.00026979,             0.09757
                   7,            0.067907,            0.002775,           0.0029926,           0.0017729,            0.027027,          0.00051519,          0.00012079,            0.066544,           0.0008488,           0.0026769,          0.00030967,          0.00030967,             0.09721
                   8,            0.066705,           0.0030408,           0.0029534,            0.002657,            0.027027,          0.00079771,          0.00013975,            0.065314,          0.00092086,           0.0026348,          0.00034951,          0.00034951,             0.09685
                   9,            0.065504,           0.0033373,           0.0029136,           0.0044028,            0.013514,          0.00092317,          0.00017157,            0.064265,          0.00098597,           0.0026051,          0.00038931,          0.00038931,            0.096489
                  10,            0.064239,           0.0036284,           0.0028673,           0.0056582,            0.013514,          0.00051037,          0.00010285,            0.063465,            0.001031,           0.0025893,          0.00042906,          0.00042906,            0.096129
                  11,            0.062943,           0.0039222,           0.0028267,           0.0067607,            0.013514,          0.00077093,          0.00016014,            0.062599,           0.0010674,           0.0025836,          0.00046875,          0.00046875,            0.095769
                  12,            0.061471,           0.0042228,           0.0027907,           0.0069746,            0.013514,           0.0012213,          0.00026823,            0.061736,           0.0010909,           0.0025866,          0.00050839,          0.00050839,            0.095408
                  13,             0.06013,           0.0045116,           0.0027291,           0.0039421,            0.013514,           0.0011801,          0.00014843,            0.060806,           0.0011521,           0.0026074,          0.00054796,          0.00054796,            0.095048
                  14,            0.058437,           0.0049909,           0.0026865,           0.0088821,            0.013514,           0.0014518,          0.00026589,            0.059482,           0.0011637,           0.0026289,          0.00058747,          0.00058747,            0.094687
                  15,            0.056586,           0.0054475,           0.0026456,           0.0035177,            0.027027,           0.0013057,          0.00022345,            0.058023,           0.0012558,           0.0026383,           0.0006269,           0.0006269,            0.094327
                  16,            0.055248,           0.0057788,           0.0026014,           0.0023425,             0.11031,           0.0011115,          0.00021999,            0.056998,           0.0013129,           0.0026205,          0.00066625,          0.00066625,            0.093966
                  17,            0.053793,            0.006316,           0.0025454,           0.0056292,            0.050283,           0.0017406,          0.00034177,            0.055802,             0.00134,           0.0025745,          0.00070551,          0.00070551,            0.093606
                  18,            0.052485,           0.0067516,           0.0024914,            0.015992,            0.013514,           0.0018079,           0.0004254,             0.05502,           0.0013638,           0.0025483,          0.00074469,          0.00074469,            0.093245
                  19,            0.051425,           0.0071915,           0.0024315,            0.015079,            0.013514,           0.0015146,          0.00044946,            0.054349,           0.0013824,           0.0025059,          0.00078377,          0.00078377,            0.092884
                  20,            0.050328,           0.0076321,           0.0023745,            0.041474,            0.013514,           0.0024331,          0.00082992,            0.053796,           0.0014028,           0.0024751,          0.00082275,          0.00082275,            0.092523
                  21,            0.049335,           0.0079936,             0.00232,            0.032399,            0.013514,           0.0018424,          0.00073684,            0.053109,           0.0014493,            0.002444,          0.00086162,          0.00086162,            0.092162
                  22,            0.048435,           0.0083609,           0.0022727,           0.0093254,            0.013514,           0.0013845,           0.0003892,            0.052428,           0.0015019,            0.002419,          0.00090038,          0.00090038,              0.0918
                  23,            0.047608,           0.0086419,            0.002224,           0.0028681,            0.038655,           0.0011043,          0.00040407,            0.051797,           0.0015468,           0.0024018,          0.00093903,          0.00093903,            0.091439
                  24,            0.046906,           0.0089559,           0.0021745,           0.0022732,             0.16436,           0.0013736,          0.00034944,            0.051299,           0.0015666,           0.0024414,          0.00097756,          0.00097756,            0.091078
                  25,            0.046235,           0.0093134,           0.0021271,           0.0021528,             0.13922,           0.0012882,           0.0003332,            0.051019,           0.0015715,           0.0024111,            0.001016,            0.001016,            0.090716
                  26,            0.045467,           0.0097296,           0.0020888,            0.004234,            0.025141,           0.0013793,           0.0003777,            0.050508,           0.0016118,           0.0023191,           0.0010542,           0.0010542,            0.090354
                  27,            0.044693,            0.010019,           0.0020466,           0.0048451,            0.025141,           0.0015097,          0.00034754,            0.050159,           0.0016243,           0.0023135,           0.0010924,           0.0010924,            0.089992
                  28,            0.043994,            0.010349,           0.0020093,            0.004758,            0.050283,            0.001609,           0.0003579,            0.049783,           0.0016315,           0.0023043,           0.0011304,           0.0011304,             0.08963
                  29,            0.043358,            0.010529,           0.0019734,           0.0068212,            0.025141,           0.0020207,          0.00047732,            0.049475,           0.0016355,           0.0022998,           0.0011682,           0.0011682,            0.089268
                  30,            0.042794,            0.010765,           0.0019374,           0.0068413,            0.048397,            0.002301,          0.00056744,            0.049236,           0.0016366,           0.0022905,           0.0012059,           0.0012059,            0.088906
                  31,            0.042237,            0.010931,           0.0018939,           0.0081151,            0.023256,           0.0031829,          0.00064738,            0.048943,           0.0016381,           0.0022916,           0.0012435,           0.0012435,            0.088543
