               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12448,             0.03379,            0.026834,           0.0015687,            0.024585,          0.00068735,          0.00017337,             0.11786,            0.038658,            0.027955,             0.00015,             0.00015,             0.09865
                   1,             0.11573,            0.032017,            0.023179,           0.0026888,            0.062321,           0.0014061,          0.00038476,             0.10829,            0.040411,            0.026499,          0.00030999,          0.00030999,             0.09721
                   2,             0.10551,            0.034102,            0.019726,           0.0086215,            0.028302,           0.0044402,           0.0010056,            0.097885,            0.043727,            0.025219,          0.00046996,          0.00046996,             0.09577
                   3,            0.096304,            0.036947,            0.016749,               0.538,             0.13208,            0.028883,           0.0064181,            0.092081,            0.045638,            0.024649,          0.00062988,          0.00062988,             0.09433
                   4,            0.089465,            0.038755,            0.014599,             0.62727,             0.12241,            0.080336,            0.013242,            0.089172,            0.045783,             0.02422,          0.00078972,          0.00078972,             0.09289
                   5,            0.083448,            0.039229,            0.013057,             0.57221,             0.17925,            0.046995,           0.0078876,            0.087455,            0.044461,            0.024052,          0.00094948,          0.00094948,            0.091449
                   6,            0.078842,            0.037568,            0.011837,             0.64831,             0.15915,            0.085389,            0.015902,            0.085834,            0.041653,            0.023773,           0.0011091,           0.0011091,            0.090009
                   7,            0.075809,            0.034709,             0.01073,             0.57827,             0.26415,            0.077225,            0.020504,            0.083358,            0.040473,            0.023121,           0.0012686,           0.0012686,            0.088569
                   8,            0.073942,            0.032687,           0.0098094,             0.60879,             0.16981,            0.070716,            0.012952,            0.079961,            0.041885,            0.023106,            0.001428,            0.001428,            0.087128
                   9,            0.070486,            0.032059,           0.0089143,              0.5941,             0.30189,              0.1046,            0.017146,            0.078255,            0.041395,            0.021641,           0.0015872,           0.0015872,            0.085687
                  10,            0.069227,            0.031428,           0.0082084,             0.57306,             0.23585,            0.057882,            0.012627,            0.081345,            0.040064,            0.021415,           0.0017462,           0.0017462,            0.084246
                  11,            0.068842,            0.030771,           0.0075284,             0.66659,             0.10377,            0.092859,            0.018981,            0.082035,            0.039977,            0.020303,           0.0019049,           0.0019049,            0.082805
                  12,            0.067964,            0.030417,           0.0071182,             0.53005,             0.26415,            0.026769,           0.0043893,            0.088337,            0.038325,            0.019413,           0.0020635,           0.0020635,            0.081363
                  13,            0.065947,            0.030168,           0.0065709,             0.53603,             0.32075,            0.032204,           0.0066676,            0.081492,            0.041045,            0.019897,           0.0022217,           0.0022217,            0.079922
                  14,            0.071091,            0.029016,           0.0062817,             0.57076,             0.16981,            0.062663,            0.010625,            0.082452,            0.040311,             0.01878,           0.0023797,           0.0023797,             0.07848
                  15,            0.073062,            0.028683,           0.0062818,             0.56265,             0.30136,            0.073375,            0.015024,            0.083155,            0.040091,            0.018144,           0.0025374,           0.0025374,            0.077037
                  16,            0.072423,            0.028257,             0.00582,             0.55222,             0.23585,            0.047562,           0.0076584,            0.083099,             0.04066,            0.019008,           0.0026948,           0.0026948,            0.075595
                  17,            0.067355,            0.029163,           0.0055471,             0.57485,             0.26415,            0.077258,            0.015031,             0.08317,            0.040137,            0.018292,           0.0028519,           0.0028519,            0.074152
                  18,            0.070103,            0.027953,           0.0051859,             0.61035,             0.23585,            0.088686,            0.016543,            0.081621,            0.039388,            0.018467,           0.0030085,           0.0030085,            0.072709
                  19,            0.064658,            0.028521,            0.004748,             0.63011,             0.29245,             0.11404,            0.028773,            0.077258,            0.041757,            0.017243,           0.0031648,           0.0031648,            0.071265
                  20,            0.065107,            0.027888,           0.0044871,             0.58137,             0.21698,            0.070341,             0.01428,             0.08148,            0.040736,            0.017384,           0.0033207,           0.0033207,            0.069821
                  21,            0.064215,            0.027597,           0.0041107,             0.56022,             0.25448,            0.055037,           0.0082491,             0.08198,            0.041428,            0.017736,           0.0034762,           0.0034762,            0.068376
                  22,            0.062008,            0.027411,           0.0039839,             0.54557,             0.09434,            0.026615,           0.0046271,            0.090569,            0.039623,             0.01905,           0.0036312,           0.0036312,            0.066931
                  23,            0.062923,            0.026826,           0.0036143,              0.5732,             0.24528,            0.053257,           0.0080025,            0.088291,            0.038211,            0.017827,           0.0037858,           0.0037858,            0.065486
                  24,            0.061554,            0.027053,           0.0036484,             0.58629,             0.30108,            0.071793,            0.013354,            0.083879,            0.039948,            0.018493,           0.0039399,           0.0039399,             0.06404
                  25,            0.060163,            0.026504,           0.0034724,             0.59515,             0.19734,            0.064225,            0.011367,            0.080877,            0.042071,            0.017774,           0.0040934,           0.0040934,            0.062593
                  26,            0.057609,            0.025976,           0.0030659,             0.63676,             0.26286,             0.12606,            0.025941,            0.074292,            0.044547,            0.017774,           0.0042465,           0.0042465,            0.061146
                  27,            0.059251,            0.025258,           0.0030549,             0.60921,             0.19811,            0.084922,            0.017013,            0.080216,            0.042377,            0.016296,            0.004399,            0.004399,            0.059699
                  28,            0.057364,            0.025489,           0.0027827,             0.59212,             0.27273,            0.070432,            0.012585,            0.084595,            0.040107,            0.015621,            0.004551,            0.004551,            0.058251
                  29,            0.056676,             0.02493,           0.0026672,             0.60884,             0.30189,            0.092607,            0.018324,            0.077148,            0.044503,            0.015166,           0.0047023,           0.0047023,            0.056802
                  30,            0.055286,            0.024862,           0.0026317,             0.55953,             0.29245,            0.045459,           0.0093876,            0.090384,            0.040792,            0.016079,           0.0048531,           0.0048531,            0.055353
                  31,             0.05865,            0.024385,           0.0028686,             0.60271,             0.25472,            0.088611,            0.017859,            0.083708,            0.042535,            0.017361,           0.0050032,           0.0050032,            0.053903
                  32,             0.05545,            0.024179,           0.0025411,             0.10057,             0.31118,            0.087374,            0.016507,              0.0817,            0.043045,            0.016772,           0.0051527,           0.0051527,            0.052453
                  33,            0.052721,            0.024713,           0.0024997,             0.61858,             0.22642,             0.11428,            0.025474,            0.081849,            0.043818,            0.018478,           0.0053016,           0.0053016,            0.051002
                  34,            0.052262,            0.024278,           0.0023778,             0.62448,             0.14151,            0.072024,            0.014895,             0.08438,            0.043835,            0.015705,           0.0054498,           0.0054498,             0.04955
                  35,             0.05282,            0.023823,           0.0022499,             0.59498,             0.21698,            0.063129,            0.012125,            0.086099,            0.042451,            0.015606,           0.0055972,           0.0055972,            0.048097
