               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.022719,                   0,           0.0015765,                 0.1,          0.00094135,          9.4135e-05,             0.12456,            0.046639,            0.030351,                   0,                   0,                 0.1
                   1,                   0,            0.022619,                   0,                   0,                   0,                   0,                   0,             0.12412,            0.046945,            0.029598,          9.2361e-06,          9.2361e-06,            0.099909
                   2,                   0,            0.022483,                   0,            0.002624,               0.125,           0.0012953,          0.00038858,             0.12393,            0.046908,            0.029454,          1.4472e-05,          1.4472e-05,            0.099814
                   3,                   0,            0.022318,                   0,           0.0032796,               0.125,           0.0015125,           0.0003025,             0.12375,            0.046847,            0.029321,          1.4292e-05,          1.4292e-05,            0.099714
                   4,                   0,            0.022134,                   0,           0.0041621,               0.125,           0.0017812,          0.00017812,             0.12363,            0.046714,            0.029197,          1.1056e-05,          1.1056e-05,            0.099611
