               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054363,           0.0032299,          3.1642e-05,                   0,                   0,                   0,                   0,             0.16634,           0.0097425,          9.6095e-05,                   0,                   0,                 0.1
                   1,            0.054303,             0.00305,           3.681e-05,                   0,                   0,                   0,                   0,             0.16496,           0.0091121,          9.6253e-05,          9.2361e-06,          9.2361e-06,            0.099909
                   2,            0.054228,           0.0029046,           3.638e-05,                   0,                   0,                   0,                   0,               0.164,           0.0085247,          9.5762e-05,          1.4472e-05,          1.4472e-05,            0.099814
                   3,            0.054132,            0.002741,          3.5472e-05,                   0,                   0,                   0,                   0,             0.16291,           0.0078891,          9.5166e-05,          1.4292e-05,          1.4292e-05,            0.099714
