               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054363,           0.0032299,          3.1642e-05,                   0,                   0,                   0,                   0,             0.16634,           0.0097425,          9.6095e-05,                   0,                   0,                 0.1
                   1,            0.054303,             0.00305,           3.681e-05,                   0,                   0,                   0,                   0,             0.16495,           0.0091101,          9.6254e-05,          9.9685e-06,          9.9685e-06,             0.09991
                   2,            0.054227,           0.0029045,          3.6378e-05,                   0,                   0,                   0,                   0,             0.16399,           0.0085194,          9.5766e-05,          1.9749e-05,          1.9749e-05,             0.09982
                   3,            0.054129,           0.0027391,          3.5478e-05,                   0,                   0,                   0,                   0,             0.16289,           0.0078707,          9.5158e-05,          2.9157e-05,          2.9157e-05,            0.099729
                   4,            0.054021,           0.0025632,          3.4327e-05,                   0,                   0,                   0,                   0,             0.16194,           0.0072604,          9.4279e-05,          3.8021e-05,          3.8021e-05,            0.099638
                   5,            0.053908,           0.0023905,          3.3276e-05,                   0,                   0,                   0,                   0,             0.16116,           0.0067224,          9.3547e-05,           4.618e-05,           4.618e-05,            0.099546
                   6,            0.053794,           0.0022392,           3.241e-05,                   0,                   0,                   0,                   0,             0.16057,           0.0062712,          9.2821e-05,          5.3495e-05,          5.3495e-05,            0.099453
                   7,            0.053677,            0.002105,          3.1713e-05,                   0,                   0,                   0,                   0,             0.16013,           0.0058643,          9.2068e-05,          5.9848e-05,          5.9848e-05,             0.09936
                   8,            0.053571,           0.0019809,          3.1146e-05,                   0,                   0,                   0,                   0,             0.15979,           0.0055505,          9.1312e-05,          6.5146e-05,          6.5146e-05,            0.099265
