               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13734,           0.0024289,           0.0024853,                   0,                   0,                   0,                   0,             0.16167,           0.0035449,           0.0024545,               3e-05,               3e-05,             0.09973
                   1,             0.12762,           0.0022315,           0.0024279,                   0,                   0,                   0,                   0,             0.15809,           0.0032889,           0.0022709,          6.4652e-05,          6.4652e-05,            0.099365
                   2,             0.12613,           0.0020494,           0.0022177,                   0,                   0,                   0,                   0,             0.15662,           0.0030592,           0.0020588,          7.9597e-05,          7.9597e-05,             0.09898
                   3,             0.12542,           0.0018944,           0.0020325,                   0,                   0,                   0,                   0,             0.15593,           0.0028313,           0.0018936,          7.1459e-05,          7.1459e-05,            0.098571
                   4,             0.12499,            0.001759,           0.0018778,                   0,                   0,                   0,                   0,             0.15554,           0.0026503,           0.0017506,          5.2515e-05,          5.2515e-05,            0.098153
