               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13023,           0.0060173,          6.5985e-05,                   0,                   0,                   0,                   0,             0.15998,           0.0061747,           6.678e-05,               3e-05,               3e-05,             0.09973
                   1,             0.12845,           0.0043209,          4.9206e-05,                   0,                   0,                   0,                   0,             0.15807,           0.0045875,          6.4562e-05,          6.4652e-05,          6.4652e-05,            0.099365
                   2,             0.12706,           0.0033626,          4.5167e-05,                   0,                   0,                   0,                   0,             0.15713,           0.0037506,          6.2139e-05,          7.9597e-05,          7.9597e-05,             0.09898
                   3,             0.12611,           0.0028414,          4.3262e-05,                   0,                   0,                   0,                   0,             0.15649,           0.0032803,          6.0966e-05,          7.1459e-05,          7.1459e-05,            0.098571
