               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.022719,                   0,           0.0015765,                 0.1,          0.00094135,          9.4135e-05,             0.12456,            0.046639,            0.030351,                   0,                   0,                 0.1
                   1,                   0,            0.022619,                   0,           0.0017267,               0.125,           0.0010686,          0.00042742,             0.12406,            0.046628,            0.029776,          9.2361e-06,          9.2361e-06,            0.099909
                   2,             0.12615,            0.023962,            0.030347,           0.0022858,               0.125,           0.0012468,          0.00037405,             0.12374,            0.046693,            0.029646,          1.4472e-05,          1.4472e-05,            0.099814
                   3,              0.1269,            0.033939,            0.028941,           0.0036998,               0.125,            0.001555,          0.00046651,             0.12337,            0.046768,            0.029529,          1.4292e-05,          1.4292e-05,            0.099714
                   4,             0.12626,            0.035858,            0.028969,           0.0046351,               0.125,           0.0017957,          0.00035914,             0.12301,             0.04681,            0.029419,          1.1056e-05,          1.1056e-05,            0.099611
