               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091686,            0.049943,            0.020485,           0.0012611,            0.023196,          0.00037666,          7.3775e-05,             0.11812,            0.036337,            0.027796,               3e-05,               3e-05,             0.09973
                   1,             0.12012,            0.080772,            0.027793,          0.00076387,            0.039849,          0.00028253,          7.7792e-05,             0.11561,            0.036508,            0.027422,          6.9779e-05,          6.9779e-05,             0.09937
                   2,             0.11603,            0.089531,            0.027765,          0.00086109,            0.050159,          0.00036664,          8.2515e-05,              0.1113,            0.037278,            0.026839,          0.00010862,          0.00010862,            0.099009
                   3,             0.11023,             0.10336,            0.027648,            0.013886,            0.019231,           0.0010076,          0.00014281,             0.10669,            0.038507,            0.026326,          0.00014579,          0.00014579,            0.098646
                   4,             0.10432,             0.11706,            0.027546,            0.011267,            0.019231,          0.00080887,          0.00014466,             0.10313,            0.039427,            0.025802,           0.0001806,           0.0001806,            0.098281
                   5,             0.09909,             0.12902,            0.027446,          0.00071591,            0.065623,          0.00039195,          0.00010175,             0.10089,            0.040061,            0.025411,          0.00021243,          0.00021243,            0.097912
                   6,            0.095456,             0.13734,            0.027365,          0.00099039,            0.070777,          0.00051566,          0.00012981,            0.099901,            0.040541,            0.025184,          0.00024073,          0.00024073,            0.097541
                   7,            0.092951,             0.14368,            0.027375,           0.0012685,             0.10428,          0.00074405,           0.0001496,            0.099402,            0.040706,            0.024954,          0.00026504,          0.00026504,            0.097165
